gunungID,nama_gunung,ketinggian,kota,provinsi_gunung,provinsi_user,userID,name,keahlian,tingkat_kesulitan
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,43,Everleigh Cain,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,133,Elise Winters,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,464,Thomas Farley,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,483,Milana Wu,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,495,Genevieve Gillespie,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,532,Trevor Schroeder,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,676,Dash Carrillo,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,790,Jasper Greer,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,897,Selah Dorsey,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,952,Nicolas Foley,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,957,Lauryn Barron,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,977,Abby Macias,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,994,Atreus Alvarez,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1068,Cannon Bullock,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1301,Reagan Ponce,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1380,Leonel Cordova,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1478,Emilio Dominguez,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1569,Avah McMillan,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1570,Rocky Johnston,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1903,Aarya Hubbard,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1926,Anders Tapia,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1977,Emerie Andrews,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,1996,Lewis Shepard,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2065,Keily Maddox,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2091,Sierra Kramer,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2110,Matias Deleon,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2226,Enrique Dyer,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2470,Walker Shaffer,Mahir,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2474,Gunnar Andersen,Pemula,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2519,Juniper Barber,Sedang,Sulit
1,Arjuno,3339,Malang,Jawa Timur,Jawa Timur,2549,Xiomara Guerra,Mahir,Sulit
